2022-05-20 11:26:26,658 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:26,658 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "//span[contains(text(), '查询')]")
2022-05-20 11:26:28,742 INFO [root] [base.py (base_get_text:70] - 正在获取元素('xpath', '(//tr/td)[2]/div')的文本
2022-05-20 11:26:28,742 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', '(//tr/td)[2]/div')
2022-05-20 11:26:29,774 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//tbody)[2]/tr[1]/td[contains(@class, 'is-center')]/div/button/span")
2022-05-20 11:26:29,774 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//tbody)[2]/tr[1]/td[contains(@class, 'is-center')]/div/button/span")
2022-05-20 11:26:30,830 INFO [root] [base.py (base_input:47] - 准备给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索1修改
2022-05-20 11:26:30,830 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")
2022-05-20 11:26:30,862 INFO [root] [base.py (base_input:51] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")清空
2022-05-20 11:26:30,969 INFO [root] [base.py (base_input:54] - 正在给元素('xpath', "(//label[contains(text(), '线索名称')]/following-sibling::div/div/input)[2]")输入内容:藏品线索1修改
2022-05-20 11:26:30,969 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:26:30,969 INFO [root] [base.py (base_find_element:19] - 正在查找元素:('xpath', "(//span[contains(text(), '保存')])[1]")
2022-05-20 11:26:31,012 INFO [root] [base.py (base_click:30] - 正在点击元素:('xpath', "//button[@class='el-dialog__headerbtn']")
